,d,v,years,months,ticker_symbol,security,sector
0,985996800,548297500,2001,3,WY,Weyerhaeuser,Real Estate
1,993859200,548076923,2001,6,WY,Weyerhaeuser,Real Estate
2,1001808000,554878049,2001,9,WY,Weyerhaeuser,Real Estate
3,1017532800,535714286,2002,3,WY,Weyerhaeuser,Real Estate
4,1025395200,562500000,2002,6,WY,Weyerhaeuser,Real Estate
5,1033344000,541666667,2002,9,WY,Weyerhaeuser,Real Estate
6,1049068800,553212500,2003,3,WY,Weyerhaeuser,Real Estate
7,1056931200,552816901,2003,6,WY,Weyerhaeuser,Real Estate
8,1064880000,554054054,2003,9,WY,Weyerhaeuser,Real Estate
9,1080691200,559320000,2004,3,WY,Weyerhaeuser,Real Estate
10,1088553600,587579618,2004,6,WY,Weyerhaeuser,Real Estate
11,1096502400,603658537,2004,9,WY,Weyerhaeuser,Real Estate
12,1112227200,607157500,2005,3,WY,Weyerhaeuser,Real Estate
13,1120089600,610465116,2005,6,WY,Weyerhaeuser,Real Estate
14,1128038400,614224138,2005,9,WY,Weyerhaeuser,Real Estate
15,1143763200,614485000,2006,3,WY,Weyerhaeuser,Real Estate
16,1151625600,618110236,2006,6,WY,Weyerhaeuser,Real Estate
17,1159574400,620588235,2006,9,WY,Weyerhaeuser,Real Estate
18,1175299200,583105000,2007,3,WY,Weyerhaeuser,Real Estate
19,1183161600,533333333,2007,6,WY,Weyerhaeuser,Real Estate
20,1191110400,537234043,2007,9,WY,Weyerhaeuser,Real Estate
21,1206921600,527987500,2008,3,WY,Weyerhaeuser,Real Estate
22,1214784000,528155000,2008,6,WY,Weyerhaeuser,Real Estate
23,1222732800,528210000,2008,9,WY,Weyerhaeuser,Real Estate
24,1238457600,528245000,2009,3,WY,Weyerhaeuser,Real Estate
25,1246320000,528320000,2009,6,WY,Weyerhaeuser,Real Estate
26,1254268800,528392500,2009,9,WY,Weyerhaeuser,Real Estate
27,1269993600,528600000,2010,3,WY,Weyerhaeuser,Real Estate
28,1277856000,529000000,2010,6,WY,Weyerhaeuser,Real Estate
29,1285804800,317369000,2010,9,WY,Weyerhaeuser,Real Estate
30,1301529600,537140000,2011,3,WY,Weyerhaeuser,Real Estate
31,1309392000,538599000,2011,6,WY,Weyerhaeuser,Real Estate
32,1317340800,537969000,2011,9,WY,Weyerhaeuser,Real Estate
33,1325289600,536432000,2011,12,WY,Weyerhaeuser,Real Estate
34,1333152000,537368000,2012,3,WY,Weyerhaeuser,Real Estate
35,1341014400,537966000,2012,6,WY,Weyerhaeuser,Real Estate
36,1348963200,539094000,2012,9,WY,Weyerhaeuser,Real Estate
37,1356912000,542101000,2012,12,WY,Weyerhaeuser,Real Estate
38,1364688000,545234000,2013,3,WY,Weyerhaeuser,Real Estate
39,1372550400,552855000,2013,6,WY,Weyerhaeuser,Real Estate
40,1380499200,582828000,2013,9,WY,Weyerhaeuser,Real Estate
41,1388448000,583610000,2013,12,WY,Weyerhaeuser,Real Estate
42,1396224000,584915000,2014,3,WY,Weyerhaeuser,Real Estate
43,1404086400,586061000,2014,6,WY,Weyerhaeuser,Real Estate
44,1412035200,531913000,2014,9,WY,Weyerhaeuser,Real Estate
45,1419984000,524838000,2014,12,WY,Weyerhaeuser,Real Estate
46,1427760000,523426000,2015,3,WY,Weyerhaeuser,Real Estate
47,1435622400,516626000,2015,6,WY,Weyerhaeuser,Real Estate
48,1443571200,514301000,2015,9,WY,Weyerhaeuser,Real Estate
49,1451520000,511175000,2015,12,WY,Weyerhaeuser,Real Estate
50,1459382400,632004000,2016,3,WY,Weyerhaeuser,Real Estate
51,1467244800,743140000,2016,6,WY,Weyerhaeuser,Real Estate
52,1475193600,749587000,2016,9,WY,Weyerhaeuser,Real Estate
53,1483142400,748835000,2016,12,WY,Weyerhaeuser,Real Estate
54,1490918400,750665000,2017,3,WY,Weyerhaeuser,Real Estate
55,1498780800,752630000,2017,6,WY,Weyerhaeuser,Real Estate
56,1506729600,753535000,2017,9,WY,Weyerhaeuser,Real Estate
57,1514678400,755409000,2017,12,WY,Weyerhaeuser,Real Estate
58,1522454400,756815000,2018,3,WY,Weyerhaeuser,Real Estate
59,1530316800,757829000,2018,6,WY,Weyerhaeuser,Real Estate
60,1538265600,754986000,2018,9,WY,Weyerhaeuser,Real Estate
61,1546214400,748694000,2018,12,WY,Weyerhaeuser,Real Estate
62,1553990400,746603000,2019,3,WY,Weyerhaeuser,Real Estate
63,1561852800,745486000,2019,6,WY,Weyerhaeuser,Real Estate
64,1569801600,745626000,2019,9,WY,Weyerhaeuser,Real Estate
65,1577750400,745886000,2019,12,WY,Weyerhaeuser,Real Estate
66,1585612800,746534000,2020,3,WY,Weyerhaeuser,Real Estate
67,1593475200,746896000,2020,6,WY,Weyerhaeuser,Real Estate
68,1601424000,746996000,2020,9,WY,Weyerhaeuser,Real Estate
69,1609372800,747294000,2020,12,WY,Weyerhaeuser,Real Estate
70,1617148800,748718000,2021,3,WY,Weyerhaeuser,Real Estate
71,1625011200,750127000,2021,6,WY,Weyerhaeuser,Real Estate
72,1632960000,750105000,2021,9,WY,Weyerhaeuser,Real Estate
73,1640908800,749020000,2021,12,WY,Weyerhaeuser,Real Estate
74,1648684800,747507000,2022,3,WY,Weyerhaeuser,Real Estate
75,1656547200,744542000,2022,6,WY,Weyerhaeuser,Real Estate
76,1668718389,744542000,2022,11,WY,Weyerhaeuser,Real Estate
