,d,v,years,months,ticker_symbol,security,sector
0,985996800,137215462,2001,3,AEE,Ameren,Utilities
1,993859200,137215462,2001,6,AEE,Ameren,Utilities
2,1001808000,137222499,2001,9,AEE,Ameren,Utilities
3,1017532800,139700000,2002,3,AEE,Ameren,Utilities
4,1025395200,144400000,2002,6,AEE,Ameren,Utilities
5,1033344000,146700000,2002,9,AEE,Ameren,Utilities
6,1049068800,158900000,2003,3,AEE,Ameren,Utilities
7,1056931200,161200000,2003,6,AEE,Ameren,Utilities
8,1064880000,161800000,2003,9,AEE,Ameren,Utilities
9,1080691200,174300000,2004,3,AEE,Ameren,Utilities
10,1088553600,182700000,2004,6,AEE,Ameren,Utilities
11,1096502400,193500000,2004,9,AEE,Ameren,Utilities
12,1112227200,195300000,2005,3,AEE,Ameren,Utilities
13,1120089600,199700000,2005,6,AEE,Ameren,Utilities
14,1128038400,203800000,2005,9,AEE,Ameren,Utilities
15,1143763200,204800000,2006,3,AEE,Ameren,Utilities
16,1151625600,205400000,2006,6,AEE,Ameren,Utilities
17,1159574400,205900000,2006,9,AEE,Ameren,Utilities
18,1175299200,206600000,2007,3,AEE,Ameren,Utilities
19,1183161600,207100000,2007,6,AEE,Ameren,Utilities
20,1191110400,207600000,2007,9,AEE,Ameren,Utilities
21,1206921600,208700000,2008,3,AEE,Ameren,Utilities
22,1214784000,209500000,2008,6,AEE,Ameren,Utilities
23,1222732800,210300000,2008,9,AEE,Ameren,Utilities
24,1238457600,212700000,2009,3,AEE,Ameren,Utilities
25,1246320000,213600000,2009,6,AEE,Ameren,Utilities
26,1254268800,218200000,2009,9,AEE,Ameren,Utilities
27,1269993600,237600000,2010,3,AEE,Ameren,Utilities
28,1277856000,238400000,2010,6,AEE,Ameren,Utilities
29,1285804800,239300000,2010,9,AEE,Ameren,Utilities
30,1301529600,240600000,2011,3,AEE,Ameren,Utilities
31,1309392000,241200000,2011,6,AEE,Ameren,Utilities
32,1317340800,241700000,2011,9,AEE,Ameren,Utilities
33,1333152000,242600000,2012,3,AEE,Ameren,Utilities
34,1341014400,242600000,2012,6,AEE,Ameren,Utilities
35,1348963200,242600000,2012,9,AEE,Ameren,Utilities
36,1356912000,242600000,2012,12,AEE,Ameren,Utilities
37,1364688000,242600000,2013,3,AEE,Ameren,Utilities
38,1372550400,242600000,2013,6,AEE,Ameren,Utilities
39,1380499200,242600000,2013,9,AEE,Ameren,Utilities
40,1388448000,242600000,2013,12,AEE,Ameren,Utilities
41,1396224000,242600000,2014,3,AEE,Ameren,Utilities
42,1404086400,242600000,2014,6,AEE,Ameren,Utilities
43,1412035200,242600000,2014,9,AEE,Ameren,Utilities
44,1419984000,242600000,2014,12,AEE,Ameren,Utilities
45,1427760000,242600000,2015,3,AEE,Ameren,Utilities
46,1435622400,242600000,2015,6,AEE,Ameren,Utilities
47,1443571200,242600000,2015,9,AEE,Ameren,Utilities
48,1451520000,242600000,2015,12,AEE,Ameren,Utilities
49,1459382400,242600000,2016,3,AEE,Ameren,Utilities
50,1467244800,242600000,2016,6,AEE,Ameren,Utilities
51,1475193600,242600000,2016,9,AEE,Ameren,Utilities
52,1483142400,242600000,2016,12,AEE,Ameren,Utilities
53,1490918400,242600000,2017,3,AEE,Ameren,Utilities
54,1498780800,242600000,2017,6,AEE,Ameren,Utilities
55,1506729600,242600000,2017,9,AEE,Ameren,Utilities
56,1514678400,242600000,2017,12,AEE,Ameren,Utilities
57,1522454400,242900000,2018,3,AEE,Ameren,Utilities
58,1530316800,243700000,2018,6,AEE,Ameren,Utilities
59,1538265600,244100000,2018,9,AEE,Ameren,Utilities
60,1546214400,244300000,2018,12,AEE,Ameren,Utilities
61,1553990400,244900000,2019,3,AEE,Ameren,Utilities
62,1561852800,245600000,2019,6,AEE,Ameren,Utilities
63,1569801600,245900000,2019,9,AEE,Ameren,Utilities
64,1577750400,246000000,2019,12,AEE,Ameren,Utilities
65,1585612800,246400000,2020,3,AEE,Ameren,Utilities
66,1593475200,246900000,2020,6,AEE,Ameren,Utilities
67,1601424000,247100000,2020,9,AEE,Ameren,Utilities
68,1609372800,247400000,2020,12,AEE,Ameren,Utilities
69,1617148800,254400000,2021,3,AEE,Ameren,Utilities
70,1625011200,256100000,2021,6,AEE,Ameren,Utilities
71,1632960000,257300000,2021,9,AEE,Ameren,Utilities
72,1640908800,257600000,2021,12,AEE,Ameren,Utilities
73,1648684800,257900000,2022,3,AEE,Ameren,Utilities
74,1656547200,258200000,2022,6,AEE,Ameren,Utilities
75,1668716005,258200000,2022,11,AEE,Ameren,Utilities
