,d,v,years,months,ticker_symbol,security,sector
0,985996800,38815000,2001,3,ATO,Atmos Energy,Utilities
1,993859200,40395000,2001,6,ATO,Atmos Energy,Utilities
2,1009756800,40837000,2001,12,ATO,Atmos Energy,Utilities
3,1017532800,41040000,2002,3,ATO,Atmos Energy,Utilities
4,1025395200,41265000,2002,6,ATO,Atmos Energy,Utilities
5,1041292800,42796000,2002,12,ATO,Atmos Energy,Utilities
6,1049068800,45306000,2003,3,ATO,Atmos Energy,Utilities
7,1056931200,45997000,2003,6,ATO,Atmos Energy,Utilities
8,1072828800,51483000,2003,12,ATO,Atmos Energy,Utilities
9,1080691200,51850000,2004,3,ATO,Atmos Energy,Utilities
10,1088553600,52220000,2004,6,ATO,Atmos Energy,Utilities
11,1104451200,75306000,2004,12,ATO,Atmos Energy,Utilities
12,1112227200,79270000,2005,3,ATO,Atmos Energy,Utilities
13,1120089600,79683000,2005,6,ATO,Atmos Energy,Utilities
14,1135987200,80259000,2005,12,ATO,Atmos Energy,Utilities
15,1143763200,80573000,2006,3,ATO,Atmos Energy,Utilities
16,1151625600,80840000,2006,6,ATO,Atmos Energy,Utilities
17,1167523200,82726000,2006,12,ATO,Atmos Energy,Utilities
18,1175299200,88078000,2007,3,ATO,Atmos Energy,Utilities
19,1183161600,88366000,2007,6,ATO,Atmos Energy,Utilities
20,1199059200,89006000,2007,12,ATO,Atmos Energy,Utilities
21,1206921600,89314000,2008,3,ATO,Atmos Energy,Utilities
22,1214784000,89648000,2008,6,ATO,Atmos Energy,Utilities
23,1230681600,90471000,2008,12,ATO,Atmos Energy,Utilities
24,1238457600,90895000,2009,3,ATO,Atmos Energy,Utilities
25,1246320000,91338000,2009,6,ATO,Atmos Energy,Utilities
26,1262217600,92152000,2009,12,ATO,Atmos Energy,Utilities
27,1269993600,92518000,2010,3,ATO,Atmos Energy,Utilities
28,1277856000,92648000,2010,6,ATO,Atmos Energy,Utilities
29,1293753600,90082000,2010,12,ATO,Atmos Energy,Utilities
30,1301529600,90246000,2011,3,ATO,Atmos Energy,Utilities
31,1309392000,90127000,2011,6,ATO,Atmos Energy,Utilities
32,1325289600,90254000,2011,12,ATO,Atmos Energy,Utilities
33,1333152000,90020000,2012,3,ATO,Atmos Energy,Utilities
34,1341014400,90118000,2012,6,ATO,Atmos Energy,Utilities
35,1356912000,90359000,2012,12,ATO,Atmos Energy,Utilities
36,1364688000,90530000,2013,3,ATO,Atmos Energy,Utilities
37,1372550400,90603000,2013,6,ATO,Atmos Energy,Utilities
38,1380499200,90640000,2013,9,ATO,Atmos Energy,Utilities
39,1388448000,90833000,2013,12,ATO,Atmos Energy,Utilities
40,1396224000,95264000,2014,3,ATO,Atmos Energy,Utilities
41,1404086400,100267000,2014,6,ATO,Atmos Energy,Utilities
42,1419984000,101581000,2014,12,ATO,Atmos Energy,Utilities
43,1427760000,101746000,2015,3,ATO,Atmos Energy,Utilities
44,1435622400,102000000,2015,6,ATO,Atmos Energy,Utilities
45,1443571200,102234000,2015,9,ATO,Atmos Energy,Utilities
46,1451520000,102713000,2015,12,ATO,Atmos Energy,Utilities
47,1459382400,102946000,2016,3,ATO,Atmos Energy,Utilities
48,1467244800,103750000,2016,6,ATO,Atmos Energy,Utilities
49,1475193600,104687000,2016,9,ATO,Atmos Energy,Utilities
50,1483142400,105284000,2016,12,ATO,Atmos Energy,Utilities
51,1490918400,105935000,2017,3,ATO,Atmos Energy,Utilities
52,1498780800,106364000,2017,6,ATO,Atmos Energy,Utilities
53,1506729600,106814000,2017,9,ATO,Atmos Energy,Utilities
54,1514678400,108564000,2017,12,ATO,Atmos Energy,Utilities
55,1522454400,111706000,2018,3,ATO,Atmos Energy,Utilities
56,1530316800,111851000,2018,6,ATO,Atmos Energy,Utilities
57,1538265600,111926000,2018,9,ATO,Atmos Energy,Utilities
58,1546214400,113800000,2018,12,ATO,Atmos Energy,Utilities
59,1553990400,117581000,2019,3,ATO,Atmos Energy,Utilities
60,1561852800,118075000,2019,6,ATO,Atmos Energy,Utilities
61,1569801600,119345000,2019,9,ATO,Atmos Energy,Utilities
62,1577750400,121113000,2019,12,ATO,Atmos Energy,Utilities
63,1585612800,122916000,2020,3,ATO,Atmos Energy,Utilities
64,1593475200,123026000,2020,6,ATO,Atmos Energy,Utilities
65,1601424000,124096000,2020,9,ATO,Atmos Energy,Utilities
66,1609372800,127034000,2020,12,ATO,Atmos Energy,Utilities
67,1617148800,129161000,2021,3,ATO,Atmos Energy,Utilities
68,1625011200,131358000,2021,6,ATO,Atmos Energy,Utilities
69,1640908800,133682000,2021,12,ATO,Atmos Energy,Utilities
70,1648684800,136834000,2022,3,ATO,Atmos Energy,Utilities
71,1656547200,139881000,2022,6,ATO,Atmos Energy,Utilities
72,1668716054,139881000,2022,11,ATO,Atmos Energy,Utilities
