,d,v,years,months,ticker_symbol,security,sector
0,985996800,125000000,2001,3,CMS,CMS Energy,Utilities
1,993859200,132000000,2001,6,CMS,CMS Energy,Utilities
2,1001808000,133000000,2001,9,CMS,CMS Energy,Utilities
3,1017532800,133000000,2002,3,CMS,CMS Energy,Utilities
4,1025395200,135000000,2002,6,CMS,CMS Energy,Utilities
5,1033344000,144000000,2002,9,CMS,CMS Energy,Utilities
6,1049068800,143636364,2003,3,CMS,CMS Energy,Utilities
7,1056931200,145161290,2003,6,CMS,CMS Energy,Utilities
8,1064880000,150980392,2003,9,CMS,CMS Energy,Utilities
9,1080691200,157142857,2004,3,CMS,CMS Energy,Utilities
10,1088553600,160000000,2004,6,CMS,CMS Energy,Utilities
11,1096502400,160000000,2004,9,CMS,CMS Energy,Utilities
12,1112227200,194805195,2005,3,CMS,CMS Energy,Utilities
13,1120089600,225000000,2005,6,CMS,CMS Energy,Utilities
14,1128038400,219008264,2005,9,CMS,CMS Energy,Utilities
15,1143763200,225000000,2006,3,CMS,CMS Energy,Utilities
16,1151625600,218181818,2006,6,CMS,CMS Energy,Utilities
17,1159574400,217021277,2006,9,CMS,CMS Energy,Utilities
18,1175299200,220618557,2007,3,CMS,CMS Energy,Utilities
19,1183161600,220000000,2007,6,CMS,CMS Energy,Utilities
20,1191110400,221621622,2007,9,CMS,CMS Energy,Utilities
21,1206921600,223913043,2008,3,CMS,CMS Energy,Utilities
22,1214784000,230000000,2008,6,CMS,CMS Energy,Utilities
23,1222732800,224100000,2008,9,CMS,CMS Energy,Utilities
24,1238457600,226600000,2009,3,CMS,CMS Energy,Utilities
25,1246320000,227000000,2009,6,CMS,CMS Energy,Utilities
26,1254268800,228125000,2009,9,CMS,CMS Energy,Utilities
27,1269993600,229729730,2010,3,CMS,CMS Energy,Utilities
28,1277856000,228200000,2010,6,CMS,CMS Energy,Utilities
29,1285804800,229000000,2010,9,CMS,CMS Energy,Utilities
30,1301529600,250000000,2011,3,CMS,CMS Energy,Utilities
31,1309392000,250300000,2011,6,CMS,CMS Energy,Utilities
32,1317340800,251300000,2011,9,CMS,CMS Energy,Utilities
33,1333152000,255600000,2012,3,CMS,CMS Energy,Utilities
34,1341014400,261200000,2012,6,CMS,CMS Energy,Utilities
35,1348963200,262900000,2012,9,CMS,CMS Energy,Utilities
36,1364688000,263600000,2013,3,CMS,CMS Energy,Utilities
37,1372550400,264500000,2013,6,CMS,CMS Energy,Utilities
38,1380499200,265000000,2013,9,CMS,CMS Energy,Utilities
39,1388448000,265000000,2013,12,CMS,CMS Energy,Utilities
40,1396224000,266100000,2014,3,CMS,CMS Energy,Utilities
41,1404086400,268000000,2014,6,CMS,CMS Energy,Utilities
42,1412035200,274000000,2014,9,CMS,CMS Energy,Utilities
43,1419984000,274000000,2014,12,CMS,CMS Energy,Utilities
44,1427760000,274800000,2015,3,CMS,CMS Energy,Utilities
45,1435622400,275400000,2015,6,CMS,CMS Energy,Utilities
46,1443571200,276000000,2015,9,CMS,CMS Energy,Utilities
47,1451520000,276000000,2015,12,CMS,CMS Energy,Utilities
48,1459382400,276700000,2016,3,CMS,CMS Energy,Utilities
49,1467244800,278200000,2016,6,CMS,CMS Energy,Utilities
50,1475193600,278200000,2016,9,CMS,CMS Energy,Utilities
51,1483142400,278000000,2016,12,CMS,CMS Energy,Utilities
52,1490918400,278900000,2017,3,CMS,CMS Energy,Utilities
53,1498780800,279500000,2017,6,CMS,CMS Energy,Utilities
54,1506729600,280800000,2017,9,CMS,CMS Energy,Utilities
55,1514678400,280800000,2017,12,CMS,CMS Energy,Utilities
56,1522454400,281500000,2018,3,CMS,CMS Energy,Utilities
57,1530316800,282100000,2018,6,CMS,CMS Energy,Utilities
58,1538265600,282500000,2018,9,CMS,CMS Energy,Utilities
59,1546214400,282600000,2018,12,CMS,CMS Energy,Utilities
60,1553990400,282800000,2019,3,CMS,CMS Energy,Utilities
61,1561852800,282900000,2019,6,CMS,CMS Energy,Utilities
62,1569801600,283000000,2019,9,CMS,CMS Energy,Utilities
63,1577750400,283000000,2019,12,CMS,CMS Energy,Utilities
64,1585612800,283300000,2020,3,CMS,CMS Energy,Utilities
65,1593475200,285500000,2020,6,CMS,CMS Energy,Utilities
66,1601424000,285600000,2020,9,CMS,CMS Energy,Utilities
67,1609372800,285700000,2020,12,CMS,CMS Energy,Utilities
68,1617148800,288600000,2021,3,CMS,CMS Energy,Utilities
69,1625011200,289000000,2021,6,CMS,CMS Energy,Utilities
70,1632960000,289100000,2021,9,CMS,CMS Energy,Utilities
71,1640908800,289100000,2021,12,CMS,CMS Energy,Utilities
72,1648684800,289300000,2022,3,CMS,CMS Energy,Utilities
73,1656547200,289500000,2022,6,CMS,CMS Energy,Utilities
74,1668716083,289500000,2022,11,CMS,CMS Energy,Utilities
