,d,v,years,months,ticker_symbol,security,sector
0,985996800,492600000,2001,3,D,Dominion Energy,Utilities
1,993859200,492063492,2001,6,D,Dominion Energy,Utilities
2,1001808000,498550725,2001,9,D,Dominion Energy,Utilities
3,1017532800,532231405,2002,3,D,Dominion Energy,Utilities
4,1025395200,555102041,2002,6,D,Dominion Energy,Utilities
5,1033344000,554838710,2002,9,D,Dominion Energy,Utilities
6,1049068800,615757576,2003,3,D,Dominion Energy,Utilities
7,1056931200,631578947,2003,6,D,Dominion Energy,Utilities
8,1064880000,648101266,2003,9,D,Dominion Energy,Utilities
9,1080691200,647407407,2004,3,D,Dominion Energy,Utilities
10,1088553600,660526316,2004,6,D,Dominion Energy,Utilities
11,1096502400,660784314,2004,9,D,Dominion Energy,Utilities
12,1112227200,680952381,2005,3,D,Dominion Energy,Utilities
13,1120089600,677551020,2005,6,D,Dominion Energy,Utilities
14,1128038400,750000000,2005,9,D,Dominion Energy,Utilities
15,1143763200,693506494,2006,3,D,Dominion Energy,Utilities
16,1151625600,700000000,2006,6,D,Dominion Energy,Utilities
17,1159574400,703225806,2006,9,D,Dominion Energy,Utilities
18,1175299200,696923077,2007,3,D,Dominion Energy,Utilities
19,1183161600,697368421,2007,6,D,Dominion Energy,Utilities
20,1191110400,635665295,2007,9,D,Dominion Energy,Utilities
21,1206921600,576271186,2008,3,D,Dominion Energy,Utilities
22,1214784000,573076923,2008,6,D,Dominion Energy,Utilities
23,1222732800,578600000,2008,9,D,Dominion Energy,Utilities
24,1238457600,585300000,2009,3,D,Dominion Energy,Utilities
25,1246320000,593700000,2009,6,D,Dominion Energy,Utilities
26,1254268800,595900000,2009,9,D,Dominion Energy,Utilities
27,1269993600,599900000,2010,3,D,Dominion Energy,Utilities
28,1277856000,590400000,2010,6,D,Dominion Energy,Utilities
29,1285804800,585000000,2010,9,D,Dominion Energy,Utilities
30,1301529600,579800000,2011,3,D,Dominion Energy,Utilities
31,1309392000,573400000,2011,6,D,Dominion Energy,Utilities
32,1317340800,569400000,2011,9,D,Dominion Energy,Utilities
33,1333152000,570500000,2012,3,D,Dominion Energy,Utilities
34,1341014400,572000000,2012,6,D,Dominion Energy,Utilities
35,1348963200,573800000,2012,9,D,Dominion Energy,Utilities
36,1364688000,576600000,2013,3,D,Dominion Energy,Utilities
37,1372550400,578100000,2013,6,D,Dominion Energy,Utilities
38,1380499200,579400000,2013,9,D,Dominion Energy,Utilities
39,1396224000,581600000,2014,3,D,Dominion Energy,Utilities
40,1404086400,581900000,2014,6,D,Dominion Energy,Utilities
41,1412035200,583100000,2014,9,D,Dominion Energy,Utilities
42,1427760000,587900000,2015,3,D,Dominion Energy,Utilities
43,1435622400,591500000,2015,6,D,Dominion Energy,Utilities
44,1443571200,594600000,2015,9,D,Dominion Energy,Utilities
45,1459382400,596600000,2016,3,D,Dominion Energy,Utilities
46,1467244800,615600000,2016,6,D,Dominion Energy,Utilities
47,1475193600,627272727,2016,9,D,Dominion Energy,Utilities
48,1483142400,628000000,2016,12,D,Dominion Energy,Utilities
49,1490918400,628100000,2017,3,D,Dominion Energy,Utilities
50,1498780800,629032258,2017,6,D,Dominion Energy,Utilities
51,1506729600,645631068,2017,9,D,Dominion Energy,Utilities
52,1514678400,645000000,2017,12,D,Dominion Energy,Utilities
53,1522454400,653246753,2018,3,D,Dominion Energy,Utilities
54,1530316800,650724638,2018,6,D,Dominion Energy,Utilities
55,1538265600,655000000,2018,9,D,Dominion Energy,Utilities
56,1546214400,681000000,2018,12,D,Dominion Energy,Utilities
57,1553990400,793100000,2019,3,D,Dominion Energy,Utilities
58,1561852800,771428571,2019,6,D,Dominion Energy,Utilities
59,1569801600,813000000,2019,9,D,Dominion Energy,Utilities
60,1577750400,838000000,2019,12,D,Dominion Energy,Utilities
61,1585612800,838200000,2020,3,D,Dominion Energy,Utilities
62,1593475200,840000000,2020,6,D,Dominion Energy,Utilities
63,1601424000,816000000,2020,9,D,Dominion Energy,Utilities
64,1609372800,806000000,2020,12,D,Dominion Energy,Utilities
65,1617148800,805900000,2021,3,D,Dominion Energy,Utilities
66,1625011200,806600000,2021,6,D,Dominion Energy,Utilities
67,1632960000,810000000,2021,9,D,Dominion Energy,Utilities
68,1640908800,810000000,2021,12,D,Dominion Energy,Utilities
69,1648684800,810600000,2022,3,D,Dominion Energy,Utilities
70,1656547200,818400000,2022,6,D,Dominion Energy,Utilities
71,1668716130,818400000,2022,11,D,Dominion Energy,Utilities
