,d,v,years,months,ticker_symbol,security,sector
0,985996800,212160000,2001,3,ED,Consolidated Edison,Utilities
1,993859200,212115000,2001,6,ED,Consolidated Edison,Utilities
2,1001808000,212206000,2001,9,ED,Consolidated Edison,Utilities
3,1017532800,212341518,2002,3,ED,Consolidated Edison,Utilities
4,1025395200,212756843,2002,6,ED,Consolidated Edison,Utilities
5,1033344000,213219441,2002,9,ED,Consolidated Edison,Utilities
6,1049068800,214200000,2003,3,ED,Consolidated Edison,Utilities
7,1056931200,219300000,2003,6,ED,Consolidated Edison,Utilities
8,1064880000,225000000,2003,9,ED,Consolidated Edison,Utilities
9,1080691200,226200000,2004,3,ED,Consolidated Edison,Utilities
10,1088553600,234000000,2004,6,ED,Consolidated Edison,Utilities
11,1096502400,241500000,2004,9,ED,Consolidated Edison,Utilities
12,1112227200,242700000,2005,3,ED,Consolidated Edison,Utilities
13,1120089600,243400000,2005,6,ED,Consolidated Edison,Utilities
14,1128038400,244400000,2005,9,ED,Consolidated Edison,Utilities
15,1143763200,245500000,2006,3,ED,Consolidated Edison,Utilities
16,1151625600,245900000,2006,6,ED,Consolidated Edison,Utilities
17,1159574400,249000000,2006,9,ED,Consolidated Edison,Utilities
18,1175299200,258000000,2007,3,ED,Consolidated Edison,Utilities
19,1183161600,264900000,2007,6,ED,Consolidated Edison,Utilities
20,1191110400,271000000,2007,9,ED,Consolidated Edison,Utilities
21,1206921600,272200000,2008,3,ED,Consolidated Edison,Utilities
22,1214784000,272700000,2008,6,ED,Consolidated Edison,Utilities
23,1222732800,273200000,2008,9,ED,Consolidated Edison,Utilities
24,1238457600,273900000,2009,3,ED,Consolidated Edison,Utilities
25,1246320000,274500000,2009,6,ED,Consolidated Edison,Utilities
26,1254268800,275100000,2009,9,ED,Consolidated Edison,Utilities
27,1269993600,281400000,2010,3,ED,Consolidated Edison,Utilities
28,1277856000,282000000,2010,6,ED,Consolidated Edison,Utilities
29,1285804800,283000000,2010,9,ED,Consolidated Edison,Utilities
30,1301529600,292000000,2011,3,ED,Consolidated Edison,Utilities
31,1309392000,292700000,2011,6,ED,Consolidated Edison,Utilities
32,1317340800,292900000,2011,9,ED,Consolidated Edison,Utilities
33,1333152000,292900000,2012,3,ED,Consolidated Edison,Utilities
34,1341014400,292900000,2012,6,ED,Consolidated Edison,Utilities
35,1348963200,292900000,2012,9,ED,Consolidated Edison,Utilities
36,1356912000,292900000,2012,12,ED,Consolidated Edison,Utilities
37,1364688000,292900000,2013,3,ED,Consolidated Edison,Utilities
38,1372550400,292900000,2013,6,ED,Consolidated Edison,Utilities
39,1380499200,292900000,2013,9,ED,Consolidated Edison,Utilities
40,1396224000,292900000,2014,3,ED,Consolidated Edison,Utilities
41,1404086400,292900000,2014,6,ED,Consolidated Edison,Utilities
42,1412035200,292900000,2014,9,ED,Consolidated Edison,Utilities
43,1419984000,292900000,2014,12,ED,Consolidated Edison,Utilities
44,1427760000,292900000,2015,3,ED,Consolidated Edison,Utilities
45,1435622400,292900000,2015,6,ED,Consolidated Edison,Utilities
46,1443571200,292900000,2015,9,ED,Consolidated Edison,Utilities
47,1451520000,293200000,2015,12,ED,Consolidated Edison,Utilities
48,1459382400,293700000,2016,3,ED,Consolidated Edison,Utilities
49,1467244800,299100000,2016,6,ED,Consolidated Edison,Utilities
50,1475193600,304500000,2016,9,ED,Consolidated Edison,Utilities
51,1483142400,304800000,2016,12,ED,Consolidated Edison,Utilities
52,1490918400,305100000,2017,3,ED,Consolidated Edison,Utilities
53,1498780800,305400000,2017,6,ED,Consolidated Edison,Utilities
54,1506729600,307800000,2017,9,ED,Consolidated Edison,Utilities
55,1514678400,310100000,2017,12,ED,Consolidated Edison,Utilities
56,1522454400,310400000,2018,3,ED,Consolidated Edison,Utilities
57,1530316800,310800000,2018,6,ED,Consolidated Edison,Utilities
58,1538265600,311100000,2018,9,ED,Consolidated Edison,Utilities
59,1546214400,313800000,2018,12,ED,Consolidated Edison,Utilities
60,1553990400,322500000,2019,3,ED,Consolidated Edison,Utilities
61,1561852800,328300000,2019,6,ED,Consolidated Edison,Utilities
62,1569801600,332200000,2019,9,ED,Consolidated Edison,Utilities
63,1577750400,332500000,2019,12,ED,Consolidated Edison,Utilities
64,1585612800,333600000,2020,3,ED,Consolidated Edison,Utilities
65,1593475200,334100000,2020,6,ED,Consolidated Edison,Utilities
66,1601424000,334500000,2020,9,ED,Consolidated Edison,Utilities
67,1609372800,336700000,2020,12,ED,Consolidated Edison,Utilities
68,1617148800,342200000,2021,3,ED,Consolidated Edison,Utilities
69,1625011200,345400000,2021,6,ED,Consolidated Edison,Utilities
70,1632960000,353400000,2021,9,ED,Consolidated Edison,Utilities
71,1640908800,353800000,2021,12,ED,Consolidated Edison,Utilities
72,1648684800,354100000,2022,3,ED,Consolidated Edison,Utilities
73,1656547200,354300000,2022,6,ED,Consolidated Edison,Utilities
74,1668716099,354300000,2022,11,ED,Consolidated Edison,Utilities
