,d,v,years,months,ticker_symbol,security,sector
0,985996800,218107000,2001,3,FE,FirstEnergy,Utilities
1,993859200,218372000,2001,6,FE,FirstEnergy,Utilities
2,1001808000,218594000,2001,9,FE,FirstEnergy,Utilities
3,1017532800,292791000,2002,3,FE,FirstEnergy,Utilities
4,1025395200,293080000,2002,6,FE,FirstEnergy,Utilities
5,1033344000,293328000,2002,9,FE,FirstEnergy,Utilities
6,1049068800,293886000,2003,3,FE,FirstEnergy,Utilities
7,1056931200,294166000,2003,6,FE,FirstEnergy,Utilities
8,1064880000,299422000,2003,9,FE,FirstEnergy,Utilities
9,1080691200,327057000,2004,3,FE,FirstEnergy,Utilities
10,1088553600,327284000,2004,6,FE,FirstEnergy,Utilities
11,1096502400,327499000,2004,9,FE,FirstEnergy,Utilities
12,1112227200,327908000,2005,3,FE,FirstEnergy,Utilities
13,1120089600,328063000,2005,6,FE,FirstEnergy,Utilities
14,1128038400,328119000,2005,9,FE,FirstEnergy,Utilities
15,1143763200,329000000,2006,3,FE,FirstEnergy,Utilities
16,1151625600,328000000,2006,6,FE,FirstEnergy,Utilities
17,1159574400,322000000,2006,9,FE,FirstEnergy,Utilities
18,1175299200,314000000,2007,3,FE,FirstEnergy,Utilities
19,1183161600,304000000,2007,6,FE,FirstEnergy,Utilities
20,1191110400,304000000,2007,9,FE,FirstEnergy,Utilities
21,1206921600,304000000,2008,3,FE,FirstEnergy,Utilities
22,1214784000,304000000,2008,6,FE,FirstEnergy,Utilities
23,1222732800,304000000,2008,9,FE,FirstEnergy,Utilities
24,1238457600,304000000,2009,3,FE,FirstEnergy,Utilities
25,1246320000,304000000,2009,6,FE,FirstEnergy,Utilities
26,1254268800,304000000,2009,9,FE,FirstEnergy,Utilities
27,1269993600,304000000,2010,3,FE,FirstEnergy,Utilities
28,1277856000,304000000,2010,6,FE,FirstEnergy,Utilities
29,1285804800,304000000,2010,9,FE,FirstEnergy,Utilities
30,1301529600,342000000,2011,3,FE,FirstEnergy,Utilities
31,1309392000,418000000,2011,6,FE,FirstEnergy,Utilities
32,1317340800,418000000,2011,9,FE,FirstEnergy,Utilities
33,1333152000,418000000,2012,3,FE,FirstEnergy,Utilities
34,1341014400,417000000,2012,6,FE,FirstEnergy,Utilities
35,1348963200,417000000,2012,9,FE,FirstEnergy,Utilities
36,1364688000,418000000,2013,3,FE,FirstEnergy,Utilities
37,1372550400,418000000,2013,6,FE,FirstEnergy,Utilities
38,1380499200,418000000,2013,9,FE,FirstEnergy,Utilities
39,1388448000,418000000,2013,12,FE,FirstEnergy,Utilities
40,1396224000,419000000,2014,3,FE,FirstEnergy,Utilities
41,1404086400,420000000,2014,6,FE,FirstEnergy,Utilities
42,1412035200,420000000,2014,9,FE,FirstEnergy,Utilities
43,1427760000,421000000,2015,3,FE,FirstEnergy,Utilities
44,1435622400,422000000,2015,6,FE,FirstEnergy,Utilities
45,1443571200,423000000,2015,9,FE,FirstEnergy,Utilities
46,1451520000,423000000,2015,12,FE,FirstEnergy,Utilities
47,1459382400,424000000,2016,3,FE,FirstEnergy,Utilities
48,1467244800,425000000,2016,6,FE,FirstEnergy,Utilities
49,1475193600,425000000,2016,9,FE,FirstEnergy,Utilities
50,1483142400,431000000,2016,12,FE,FirstEnergy,Utilities
51,1490918400,443000000,2017,3,FE,FirstEnergy,Utilities
52,1498780800,444000000,2017,6,FE,FirstEnergy,Utilities
53,1506729600,444000000,2017,9,FE,FirstEnergy,Utilities
54,1514678400,445000000,2017,12,FE,FirstEnergy,Utilities
55,1522454400,476000000,2018,3,FE,FirstEnergy,Utilities
56,1530316800,477000000,2018,6,FE,FirstEnergy,Utilities
57,1538265600,503000000,2018,9,FE,FirstEnergy,Utilities
58,1546214400,512000000,2018,12,FE,FirstEnergy,Utilities
59,1553990400,530000000,2019,3,FE,FirstEnergy,Utilities
60,1561852800,532000000,2019,6,FE,FirstEnergy,Utilities
61,1569801600,538000000,2019,9,FE,FirstEnergy,Utilities
62,1585612800,541000000,2020,3,FE,FirstEnergy,Utilities
63,1593475200,542000000,2020,6,FE,FirstEnergy,Utilities
64,1601424000,542000000,2020,9,FE,FirstEnergy,Utilities
65,1617148800,543000000,2021,3,FE,FirstEnergy,Utilities
66,1625011200,544000000,2021,6,FE,FirstEnergy,Utilities
67,1632960000,544000000,2021,9,FE,FirstEnergy,Utilities
68,1648684800,570000000,2022,3,FE,FirstEnergy,Utilities
69,1656547200,571000000,2022,6,FE,FirstEnergy,Utilities
70,1668716253,571000000,2022,11,FE,FirstEnergy,Utilities
