,d,v,years,months,ticker_symbol,security,sector
0,985996800,158976190,2001,3,LNT,Alliant Energy,Utilities
1,993859200,160689655,2001,6,LNT,Alliant Energy,Utilities
2,1001808000,158480000,2001,9,LNT,Alliant Energy,Utilities
3,1017532800,177145455,2002,3,LNT,Alliant Energy,Utilities
4,1025395200,180428571,2002,6,LNT,Alliant Energy,Utilities
5,1033344000,182516000,2002,9,LNT,Alliant Energy,Utilities
6,1049068800,185467604,2003,3,LNT,Alliant Energy,Utilities
7,1056931200,183737143,2003,6,LNT,Alliant Energy,Utilities
8,1064880000,218442000,2003,9,LNT,Alliant Energy,Utilities
9,1080691200,222306000,2004,3,LNT,Alliant Energy,Utilities
10,1088553600,224158000,2004,6,LNT,Alliant Energy,Utilities
11,1096502400,228492000,2004,9,LNT,Alliant Energy,Utilities
12,1112227200,232064000,2005,3,LNT,Alliant Energy,Utilities
13,1120089600,232566000,2005,6,LNT,Alliant Energy,Utilities
14,1128038400,233278000,2005,9,LNT,Alliant Energy,Utilities
15,1143763200,234074000,2006,3,LNT,Alliant Energy,Utilities
16,1151625600,234610000,2006,6,LNT,Alliant Energy,Utilities
17,1159574400,234220000,2006,9,LNT,Alliant Energy,Utilities
18,1175299200,230840000,2007,3,LNT,Alliant Energy,Utilities
19,1183161600,225556000,2007,6,LNT,Alliant Energy,Utilities
20,1191110400,221762000,2007,9,LNT,Alliant Energy,Utilities
21,1206921600,220296000,2008,3,LNT,Alliant Energy,Utilities
22,1214784000,220336000,2008,6,LNT,Alliant Energy,Utilities
23,1222732800,220364000,2008,9,LNT,Alliant Energy,Utilities
24,1238457600,220436000,2009,3,LNT,Alliant Energy,Utilities
25,1246320000,220532000,2009,6,LNT,Alliant Energy,Utilities
26,1254268800,220576000,2009,9,LNT,Alliant Energy,Utilities
27,1269993600,220736000,2010,3,LNT,Alliant Energy,Utilities
28,1277856000,220818000,2010,6,LNT,Alliant Energy,Utilities
29,1285804800,220938000,2010,9,LNT,Alliant Energy,Utilities
30,1301529600,221138000,2011,3,LNT,Alliant Energy,Utilities
31,1309392000,221959022,2011,6,LNT,Alliant Energy,Utilities
32,1317340800,221294000,2011,9,LNT,Alliant Energy,Utilities
33,1333152000,221432000,2012,3,LNT,Alliant Energy,Utilities
34,1341014400,221512000,2012,6,LNT,Alliant Energy,Utilities
35,1348963200,221536000,2012,9,LNT,Alliant Energy,Utilities
36,1356912000,221544000,2012,12,LNT,Alliant Energy,Utilities
37,1364688000,221904762,2013,3,LNT,Alliant Energy,Utilities
38,1372550400,221887338,2013,6,LNT,Alliant Energy,Utilities
39,1380499200,221566000,2013,9,LNT,Alliant Energy,Utilities
40,1388448000,221600000,2013,12,LNT,Alliant Energy,Utilities
41,1396224000,221600000,2014,3,LNT,Alliant Energy,Utilities
42,1404086400,221600000,2014,6,LNT,Alliant Energy,Utilities
43,1412035200,221600000,2014,9,LNT,Alliant Energy,Utilities
44,1419984000,221600000,2014,12,LNT,Alliant Energy,Utilities
45,1427760000,222200000,2015,3,LNT,Alliant Energy,Utilities
46,1435622400,226200000,2015,6,LNT,Alliant Energy,Utilities
47,1443571200,226400000,2015,9,LNT,Alliant Energy,Utilities
48,1451520000,226600000,2015,12,LNT,Alliant Energy,Utilities
49,1459382400,226800000,2016,3,LNT,Alliant Energy,Utilities
50,1467244800,227000000,2016,6,LNT,Alliant Energy,Utilities
51,1475193600,227200000,2016,9,LNT,Alliant Energy,Utilities
52,1483142400,227400000,2016,12,LNT,Alliant Energy,Utilities
53,1490918400,227600000,2017,3,LNT,Alliant Energy,Utilities
54,1498780800,229000000,2017,6,LNT,Alliant Energy,Utilities
55,1506729600,231000000,2017,9,LNT,Alliant Energy,Utilities
56,1514678400,231200000,2017,12,LNT,Alliant Energy,Utilities
57,1522454400,231400000,2018,3,LNT,Alliant Energy,Utilities
58,1530316800,232000000,2018,6,LNT,Alliant Energy,Utilities
59,1538265600,235200000,2018,9,LNT,Alliant Energy,Utilities
60,1546214400,236000000,2018,12,LNT,Alliant Energy,Utilities
61,1553990400,236500000,2019,3,LNT,Alliant Energy,Utilities
62,1561852800,237500000,2019,6,LNT,Alliant Energy,Utilities
63,1569801600,239100000,2019,9,LNT,Alliant Energy,Utilities
64,1577750400,241000000,2019,12,LNT,Alliant Energy,Utilities
65,1585612800,244400000,2020,3,LNT,Alliant Energy,Utilities
66,1593475200,249600000,2020,6,LNT,Alliant Energy,Utilities
67,1601424000,249700000,2020,9,LNT,Alliant Energy,Utilities
68,1609372800,249800000,2020,12,LNT,Alliant Energy,Utilities
69,1617148800,250000000,2021,3,LNT,Alliant Energy,Utilities
70,1625011200,250200000,2021,6,LNT,Alliant Energy,Utilities
71,1632960000,250300000,2021,9,LNT,Alliant Energy,Utilities
72,1640908800,250400000,2021,12,LNT,Alliant Energy,Utilities
73,1648684800,250600000,2022,3,LNT,Alliant Energy,Utilities
74,1656547200,250900000,2022,6,LNT,Alliant Energy,Utilities
75,1668715991,250900000,2022,11,LNT,Alliant Energy,Utilities
