,d,v,years,months,ticker_symbol,security,sector
0,985996800,1406860560,2001,3,NEE,NextEra Energy,Utilities
1,993859200,1352000000,2001,6,NEE,NextEra Energy,Utilities
2,1001808000,1352000000,2001,9,NEE,NextEra Energy,Utilities
3,1017532800,1352800000,2002,3,NEE,NextEra Energy,Utilities
4,1025395200,1364800000,2002,6,NEE,NextEra Energy,Utilities
5,1033344000,1405600000,2002,9,NEE,NextEra Energy,Utilities
6,1049068800,1414400000,2003,3,NEE,NextEra Energy,Utilities
7,1056931200,1418400000,2003,6,NEE,NextEra Energy,Utilities
8,1064880000,1422400000,2003,9,NEE,NextEra Energy,Utilities
9,1080691200,1427200000,2004,3,NEE,NextEra Energy,Utilities
10,1088553600,1432800000,2004,6,NEE,NextEra Energy,Utilities
11,1096502400,1436800000,2004,9,NEE,NextEra Energy,Utilities
12,1112227200,1482800000,2005,3,NEE,NextEra Energy,Utilities
13,1120089600,1525600000,2005,6,NEE,NextEra Energy,Utilities
14,1128038400,1535200000,2005,9,NEE,NextEra Energy,Utilities
15,1143763200,1556800000,2006,3,NEE,NextEra Energy,Utilities
16,1151625600,1577200000,2006,6,NEE,NextEra Energy,Utilities
17,1159574400,1579600000,2006,9,NEE,NextEra Energy,Utilities
18,1175299200,1587200000,2007,3,NEE,NextEra Energy,Utilities
19,1183161600,1590400000,2007,6,NEE,NextEra Energy,Utilities
20,1191110400,1592400000,2007,9,NEE,NextEra Energy,Utilities
21,1206921600,1596400000,2008,3,NEE,NextEra Energy,Utilities
22,1214784000,1599200000,2008,6,NEE,NextEra Energy,Utilities
23,1222732800,1601600000,2008,9,NEE,NextEra Energy,Utilities
24,1238457600,1609200000,2009,3,NEE,NextEra Energy,Utilities
25,1246320000,1624000000,2009,6,NEE,NextEra Energy,Utilities
26,1254268800,1632000000,2009,9,NEE,NextEra Energy,Utilities
27,1269993600,1658690152,2010,3,NEE,NextEra Energy,Utilities
28,1277856000,1635600000,2010,6,NEE,NextEra Energy,Utilities
29,1285804800,1643600000,2010,9,NEE,NextEra Energy,Utilities
30,1301529600,1672000000,2011,3,NEE,NextEra Energy,Utilities
31,1309392000,1689360516,2011,6,NEE,NextEra Energy,Utilities
32,1317340800,1669600000,2011,9,NEE,NextEra Energy,Utilities
33,1325289600,1676000000,2011,12,NEE,NextEra Energy,Utilities
34,1333152000,1660000000,2012,3,NEE,NextEra Energy,Utilities
35,1341014400,1691031392,2012,6,NEE,NextEra Energy,Utilities
36,1348963200,1692824308,2012,9,NEE,NextEra Energy,Utilities
37,1356912000,1696000000,2012,12,NEE,NextEra Energy,Utilities
38,1364688000,1698552320,2013,3,NEE,NextEra Energy,Utilities
39,1372550400,1698649316,2013,6,NEE,NextEra Energy,Utilities
40,1380499200,1695200000,2013,9,NEE,NextEra Energy,Utilities
41,1388448000,1740000000,2013,12,NEE,NextEra Energy,Utilities
42,1396224000,1744474408,2014,3,NEE,NextEra Energy,Utilities
43,1404086400,1745428348,2014,6,NEE,NextEra Energy,Utilities
44,1412035200,1745929224,2014,9,NEE,NextEra Energy,Utilities
45,1427760000,1793103448,2015,3,NEE,NextEra Energy,Utilities
46,1435622400,1782000000,2015,6,NEE,NextEra Energy,Utilities
47,1443571200,1821761658,2015,9,NEE,NextEra Energy,Utilities
48,1451520000,1844000000,2015,12,NEE,NextEra Energy,Utilities
49,1459382400,1845783804,2016,3,NEE,NextEra Energy,Utilities
50,1467244800,1862068966,2016,6,NEE,NextEra Energy,Utilities
51,1475193600,1859259259,2016,9,NEE,NextEra Energy,Utilities
52,1483142400,1875728155,2016,12,NEE,NextEra Energy,Utilities
53,1490918400,1870000000,2017,3,NEE,NextEra Energy,Utilities
54,1498780800,1871600000,2017,6,NEE,NextEra Energy,Utilities
55,1506729600,1877600000,2017,9,NEE,NextEra Energy,Utilities
56,1514678400,1884000000,2017,12,NEE,NextEra Energy,Utilities
57,1522454400,1885745904,2018,3,NEE,NextEra Energy,Utilities
58,1530316800,1884400000,2018,6,NEE,NextEra Energy,Utilities
59,1538265600,1892400000,2018,9,NEE,NextEra Energy,Utilities
60,1546214400,1912000000,2018,12,NEE,NextEra Energy,Utilities
61,1553990400,1913200000,2019,3,NEE,NextEra Energy,Utilities
62,1561852800,1915600000,2019,6,NEE,NextEra Energy,Utilities
63,1569801600,1955103612,2019,9,NEE,NextEra Energy,Utilities
64,1577750400,1956000000,2019,12,NEE,NextEra Energy,Utilities
65,1585612800,1957800200,2020,3,NEE,NextEra Energy,Utilities
66,1593475200,1958800000,2020,6,NEE,NextEra Energy,Utilities
67,1601424000,1959074124,2020,9,NEE,NextEra Energy,Utilities
68,1609372800,1960000000,2020,12,NEE,NextEra Energy,Utilities
69,1617148800,1961445060,2021,3,NEE,NextEra Energy,Utilities
70,1625011200,1970000000,2021,6,NEE,NextEra Energy,Utilities
71,1632960000,1973000000,2021,9,NEE,NextEra Energy,Utilities
72,1640908800,1973770492,2021,12,NEE,NextEra Energy,Utilities
73,1648684800,1964499706,2022,3,NEE,NextEra Energy,Utilities
74,1656547200,1964779183,2022,6,NEE,NextEra Energy,Utilities
75,1668716268,1964779183,2022,11,NEE,NextEra Energy,Utilities
