,d,v,years,months,ticker_symbol,security,sector
0,985996800,205000000,2001,3,NI,NiSource,Utilities
1,993859200,205300000,2001,6,NI,NiSource,Utilities
2,1001808000,205400000,2001,9,NI,NiSource,Utilities
3,1017532800,205500000,2002,3,NI,NiSource,Utilities
4,1025395200,205600000,2002,6,NI,NiSource,Utilities
5,1033344000,205700000,2002,9,NI,NiSource,Utilities
6,1049068800,253800000,2003,3,NI,NiSource,Utilities
7,1056931200,261300000,2003,6,NI,NiSource,Utilities
8,1064880000,261400000,2003,9,NI,NiSource,Utilities
9,1080691200,262300000,2004,3,NI,NiSource,Utilities
10,1088553600,262500000,2004,6,NI,NiSource,Utilities
11,1096502400,262700000,2004,9,NI,NiSource,Utilities
12,1112227200,270300000,2005,3,NI,NiSource,Utilities
13,1120089600,271200000,2005,6,NI,NiSource,Utilities
14,1128038400,271700000,2005,9,NI,NiSource,Utilities
15,1143763200,272300000,2006,3,NI,NiSource,Utilities
16,1151625600,272400000,2006,6,NI,NiSource,Utilities
17,1159574400,272500000,2006,9,NI,NiSource,Utilities
18,1175299200,273600000,2007,3,NI,NiSource,Utilities
19,1183161600,273800000,2007,6,NI,NiSource,Utilities
20,1191110400,273900000,2007,9,NI,NiSource,Utilities
21,1206921600,273900000,2008,3,NI,NiSource,Utilities
22,1214784000,274000000,2008,6,NI,NiSource,Utilities
23,1222732800,274000000,2008,9,NI,NiSource,Utilities
24,1238457600,274200000,2009,3,NI,NiSource,Utilities
25,1246320000,274700000,2009,6,NI,NiSource,Utilities
26,1254268800,275400000,2009,9,NI,NiSource,Utilities
27,1269993600,276900000,2010,3,NI,NiSource,Utilities
28,1277856000,277600000,2010,6,NI,NiSource,Utilities
29,1285804800,278100000,2010,9,NI,NiSource,Utilities
30,1301529600,279300000,2011,3,NI,NiSource,Utilities
31,1309392000,280200000,2011,6,NI,NiSource,Utilities
32,1317340800,280800000,2011,9,NI,NiSource,Utilities
33,1333152000,282900000,2012,3,NI,NiSource,Utilities
34,1341014400,284400000,2012,6,NI,NiSource,Utilities
35,1348963200,290300000,2012,9,NI,NiSource,Utilities
36,1364688000,311100000,2013,3,NI,NiSource,Utilities
37,1372550400,312200000,2013,6,NI,NiSource,Utilities
38,1380499200,312800000,2013,9,NI,NiSource,Utilities
39,1396224000,314200000,2014,3,NI,NiSource,Utilities
40,1404086400,315000000,2014,6,NI,NiSource,Utilities
41,1412035200,315400000,2014,9,NI,NiSource,Utilities
42,1427760000,316600000,2015,3,NI,NiSource,Utilities
43,1435622400,317500000,2015,6,NI,NiSource,Utilities
44,1443571200,318100000,2015,9,NI,NiSource,Utilities
45,1451520000,318800000,2015,12,NI,NiSource,Utilities
46,1459382400,320300000,2016,3,NI,NiSource,Utilities
47,1467244800,321700000,2016,6,NI,NiSource,Utilities
48,1475193600,322300000,2016,9,NI,NiSource,Utilities
49,1490918400,323700000,2017,3,NI,NiSource,Utilities
50,1498780800,325100000,2017,6,NI,NiSource,Utilities
51,1506729600,331100000,2017,9,NI,NiSource,Utilities
52,1522454400,338000000,2018,3,NI,NiSource,Utilities
53,1530316800,354200000,2018,6,NI,NiSource,Utilities
54,1538265600,363900000,2018,9,NI,NiSource,Utilities
55,1553990400,373400000,2019,3,NI,NiSource,Utilities
56,1561852800,373900000,2019,6,NI,NiSource,Utilities
57,1569801600,374100000,2019,9,NI,NiSource,Utilities
58,1585612800,383100000,2020,3,NI,NiSource,Utilities
59,1593475200,383500000,2020,6,NI,NiSource,Utilities
60,1601424000,383800000,2020,9,NI,NiSource,Utilities
61,1617148800,392700000,2021,3,NI,NiSource,Utilities
62,1625011200,393000000,2021,6,NI,NiSource,Utilities
63,1632960000,393200000,2021,9,NI,NiSource,Utilities
64,1648684800,406000000,2022,3,NI,NiSource,Utilities
65,1656547200,406400000,2022,6,NI,NiSource,Utilities
66,1668716283,406400000,2022,11,NI,NiSource,Utilities
