,d,v,years,months,ticker_symbol,security,sector
0,985996800,290196078,2001,3,PPL,PPL Corporation,Utilities
1,993859200,292500000,2001,6,PPL,PPL Corporation,Utilities
2,1001808000,292307692,2001,9,PPL,PPL Corporation,Utilities
3,1017532800,300000000,2002,3,PPL,PPL Corporation,Utilities
4,1025395200,300000000,2002,6,PPL,PPL Corporation,Utilities
5,1033344000,301234568,2002,9,PPL,PPL Corporation,Utilities
6,1049068800,334265734,2003,3,PPL,PPL Corporation,Utilities
7,1056931200,341176471,2003,6,PPL,PPL Corporation,Utilities
8,1064880000,352577320,2003,9,PPL,PPL Corporation,Utilities
9,1080691200,354000000,2004,3,PPL,PPL Corporation,Utilities
10,1088553600,365432099,2004,6,PPL,PPL Corporation,Utilities
11,1096502400,376923077,2004,9,PPL,PPL Corporation,Utilities
12,1112227200,377528090,2005,3,PPL,PPL Corporation,Utilities
13,1120089600,382089552,2005,6,PPL,PPL Corporation,Utilities
14,1128038400,378846154,2005,9,PPL,PPL Corporation,Utilities
15,1143763200,378378378,2006,3,PPL,PPL Corporation,Utilities
16,1151625600,377083333,2006,6,PPL,PPL Corporation,Utilities
17,1159574400,383050847,2006,9,PPL,PPL Corporation,Utilities
18,1175299200,383018868,2007,3,PPL,PPL Corporation,Utilities
19,1183161600,387640449,2007,6,PPL,PPL Corporation,Utilities
20,1191110400,378823529,2007,9,PPL,PPL Corporation,Utilities
21,1206921600,371428571,2008,3,PPL,PPL Corporation,Utilities
22,1214784000,373158000,2008,6,PPL,PPL Corporation,Utilities
23,1222732800,374291000,2008,9,PPL,PPL Corporation,Utilities
24,1238457600,375112000,2009,3,PPL,PPL Corporation,Utilities
25,1246320000,375881000,2009,6,PPL,PPL Corporation,Utilities
26,1254268800,376384000,2009,9,PPL,PPL Corporation,Utilities
27,1269993600,377717000,2010,3,PPL,PPL Corporation,Utilities
28,1277856000,381896000,2010,6,PPL,PPL Corporation,Utilities
29,1285804800,482552000,2010,9,PPL,PPL Corporation,Utilities
30,1301529600,484138000,2011,3,PPL,PPL Corporation,Utilities
31,1309392000,561652000,2011,6,PPL,PPL Corporation,Utilities
32,1317340800,577595000,2011,9,PPL,PPL Corporation,Utilities
33,1333152000,579041000,2012,3,PPL,PPL Corporation,Utilities
34,1341014400,579881000,2012,6,PPL,PPL Corporation,Utilities
35,1348963200,580585000,2012,9,PPL,PPL Corporation,Utilities
36,1356912000,581492000,2012,12,PPL,PPL Corporation,Utilities
37,1364688000,582640000,2013,3,PPL,PPL Corporation,Utilities
38,1372550400,589834000,2013,6,PPL,PPL Corporation,Utilities
39,1380499200,631046000,2013,9,PPL,PPL Corporation,Utilities
40,1388448000,630192000,2013,12,PPL,PPL Corporation,Utilities
41,1396224000,630749000,2014,3,PPL,PPL Corporation,Utilities
42,1404086400,653132000,2014,6,PPL,PPL Corporation,Utilities
43,1412035200,664432000,2014,9,PPL,PPL Corporation,Utilities
44,1419984000,665205000,2014,12,PPL,PPL Corporation,Utilities
45,1427760000,666974000,2015,3,PPL,PPL Corporation,Utilities
46,1435622400,668415000,2015,6,PPL,PPL Corporation,Utilities
47,1443571200,670763000,2015,9,PPL,PPL Corporation,Utilities
48,1451520000,673028000,2015,12,PPL,PPL Corporation,Utilities
49,1459382400,675441000,2016,3,PPL,PPL Corporation,Utilities
50,1467244800,677145000,2016,6,PPL,PPL Corporation,Utilities
51,1475193600,678114000,2016,9,PPL,PPL Corporation,Utilities
52,1483142400,679641000,2016,12,PPL,PPL Corporation,Utilities
53,1490918400,680882000,2017,3,PPL,PPL Corporation,Utilities
54,1498780800,683841000,2017,6,PPL,PPL Corporation,Utilities
55,1506729600,686563000,2017,9,PPL,PPL Corporation,Utilities
56,1514678400,689563000,2017,12,PPL,PPL Corporation,Utilities
57,1522454400,694514000,2018,3,PPL,PPL Corporation,Utilities
58,1530316800,699006000,2018,6,PPL,PPL Corporation,Utilities
59,1538265600,703730000,2018,9,PPL,PPL Corporation,Utilities
60,1546214400,720234000,2018,12,PPL,PPL Corporation,Utilities
61,1553990400,721023000,2019,3,PPL,PPL Corporation,Utilities
62,1561852800,721785000,2019,6,PPL,PPL Corporation,Utilities
63,1569801600,722259000,2019,9,PPL,PPL Corporation,Utilities
64,1577750400,748745000,2019,12,PPL,PPL Corporation,Utilities
65,1585612800,767948000,2020,3,PPL,PPL Corporation,Utilities
66,1593475200,768768000,2020,6,PPL,PPL Corporation,Utilities
67,1601424000,768786000,2020,9,PPL,PPL Corporation,Utilities
68,1609372800,768852000,2020,12,PPL,PPL Corporation,Utilities
69,1617148800,769159000,2021,3,PPL,PPL Corporation,Utilities
70,1625011200,769466000,2021,6,PPL,PPL Corporation,Utilities
71,1632960000,767733000,2021,9,PPL,PPL Corporation,Utilities
72,1640908800,745456000,2021,12,PPL,PPL Corporation,Utilities
73,1648684800,735503000,2022,3,PPL,PPL Corporation,Utilities
74,1656547200,735977000,2022,6,PPL,PPL Corporation,Utilities
75,1668716345,735977000,2022,11,PPL,PPL Corporation,Utilities
