,d,v,years,months,ticker_symbol,security,sector
0,985996800,202285000,2001,3,SRE,Sempra Energy,Utilities
1,993859200,203400000,2001,6,SRE,Sempra Energy,Utilities
2,1001808000,204180000,2001,9,SRE,Sempra Energy,Utilities
3,1017532800,204853000,2002,3,SRE,Sempra Energy,Utilities
4,1025395200,205354000,2002,6,SRE,Sempra Energy,Utilities
5,1033344000,204932000,2002,9,SRE,Sempra Energy,Utilities
6,1049068800,206393000,2003,3,SRE,Sempra Energy,Utilities
7,1056931200,207626000,2003,6,SRE,Sempra Energy,Utilities
8,1064880000,208816000,2003,9,SRE,Sempra Energy,Utilities
9,1080691200,228055000,2004,3,SRE,Sempra Energy,Utilities
10,1088553600,230432000,2004,6,SRE,Sempra Energy,Utilities
11,1096502400,229376000,2004,9,SRE,Sempra Energy,Utilities
12,1112227200,232939000,2005,3,SRE,Sempra Energy,Utilities
13,1120089600,243898000,2005,6,SRE,Sempra Energy,Utilities
14,1128038400,252974000,2005,9,SRE,Sempra Energy,Utilities
15,1143763200,254257000,2006,3,SRE,Sempra Energy,Utilities
16,1151625600,255728000,2006,6,SRE,Sempra Energy,Utilities
17,1159574400,257487000,2006,9,SRE,Sempra Energy,Utilities
18,1175299200,259459000,2007,3,SRE,Sempra Energy,Utilities
19,1183161600,260198000,2007,6,SRE,Sempra Energy,Utilities
20,1191110400,259563000,2007,9,SRE,Sempra Energy,Utilities
21,1206921600,258624000,2008,3,SRE,Sempra Energy,Utilities
22,1214784000,245576000,2008,6,SRE,Sempra Energy,Utilities
23,1222732800,243793000,2008,9,SRE,Sempra Energy,Utilities
24,1238457600,241766000,2009,3,SRE,Sempra Energy,Utilities
25,1246320000,242718000,2009,6,SRE,Sempra Energy,Utilities
26,1254268800,243925000,2009,9,SRE,Sempra Energy,Utilities
27,1269993600,246083000,2010,3,SRE,Sempra Energy,Utilities
28,1277856000,246784000,2010,6,SRE,Sempra Energy,Utilities
29,1285804800,246668000,2010,9,SRE,Sempra Energy,Utilities
30,1301529600,240128000,2011,3,SRE,Sempra Energy,Utilities
31,1309392000,239415000,2011,6,SRE,Sempra Energy,Utilities
32,1317340800,239545000,2011,9,SRE,Sempra Energy,Utilities
33,1333152000,240566000,2012,3,SRE,Sempra Energy,Utilities
34,1341014400,241141000,2012,6,SRE,Sempra Energy,Utilities
35,1348963200,241689000,2012,9,SRE,Sempra Energy,Utilities
36,1364688000,243294000,2013,3,SRE,Sempra Energy,Utilities
37,1372550400,243603000,2013,6,SRE,Sempra Energy,Utilities
38,1380499200,244140000,2013,9,SRE,Sempra Energy,Utilities
39,1396224000,245277000,2014,3,SRE,Sempra Energy,Utilities
40,1404086400,245688000,2014,6,SRE,Sempra Energy,Utilities
41,1412035200,246137000,2014,9,SRE,Sempra Energy,Utilities
42,1419984000,246448000,2014,12,SRE,Sempra Energy,Utilities
43,1427760000,247722000,2015,3,SRE,Sempra Energy,Utilities
44,1435622400,248108000,2015,6,SRE,Sempra Energy,Utilities
45,1443571200,248432000,2015,9,SRE,Sempra Energy,Utilities
46,1451520000,248722000,2015,12,SRE,Sempra Energy,Utilities
47,1459382400,249734000,2016,3,SRE,Sempra Energy,Utilities
48,1467244800,250096000,2016,6,SRE,Sempra Energy,Utilities
49,1475193600,250386000,2016,9,SRE,Sempra Energy,Utilities
50,1483142400,250645000,2016,12,SRE,Sempra Energy,Utilities
51,1490918400,251131000,2017,3,SRE,Sempra Energy,Utilities
52,1498780800,251447000,2017,6,SRE,Sempra Energy,Utilities
53,1506729600,251692000,2017,9,SRE,Sempra Energy,Utilities
54,1522454400,257932000,2018,3,SRE,Sempra Energy,Utilities
55,1530316800,265837000,2018,6,SRE,Sempra Energy,Utilities
56,1538265600,273944000,2018,9,SRE,Sempra Energy,Utilities
57,1546214400,274331000,2018,12,SRE,Sempra Energy,Utilities
58,1553990400,274674000,2019,3,SRE,Sempra Energy,Utilities
59,1561852800,274987000,2019,6,SRE,Sempra Energy,Utilities
60,1569801600,277360000,2019,9,SRE,Sempra Energy,Utilities
61,1577750400,284649000,2019,12,SRE,Sempra Energy,Utilities
62,1585612800,292790000,2020,3,SRE,Sempra Energy,Utilities
63,1593475200,293060000,2020,6,SRE,Sempra Energy,Utilities
64,1601424000,289490000,2020,9,SRE,Sempra Energy,Utilities
65,1609372800,289009000,2020,12,SRE,Sempra Energy,Utilities
66,1617148800,300905000,2021,3,SRE,Sempra Energy,Utilities
67,1625011200,307800000,2021,6,SRE,Sempra Energy,Utilities
68,1632960000,319144000,2021,9,SRE,Sempra Energy,Utilities
69,1640908800,318890000,2021,12,SRE,Sempra Energy,Utilities
70,1648684800,316353000,2022,3,SRE,Sempra Energy,Utilities
71,1656547200,314845000,2022,6,SRE,Sempra Energy,Utilities
72,1668716377,314845000,2022,11,SRE,Sempra Energy,Utilities
