,d,v,years,months,ticker_symbol,security,sector
0,985996800,237400000,2001,3,WEC,WEC Energy Group,Utilities
1,993859200,237000000,2001,6,WEC,WEC Energy Group,Utilities
2,1001808000,235600000,2001,9,WEC,WEC Energy Group,Utilities
3,1017532800,230200000,2002,3,WEC,WEC Energy Group,Utilities
4,1025395200,230600000,2002,6,WEC,WEC Energy Group,Utilities
5,1033344000,230600000,2002,9,WEC,WEC Energy Group,Utilities
6,1049068800,232400000,2003,3,WEC,WEC Energy Group,Utilities
7,1056931200,233400000,2003,6,WEC,WEC Energy Group,Utilities
8,1064880000,234800000,2003,9,WEC,WEC Energy Group,Utilities
9,1080691200,237000000,2004,3,WEC,WEC Energy Group,Utilities
10,1088553600,236000000,2004,6,WEC,WEC Energy Group,Utilities
11,1096502400,234800000,2004,9,WEC,WEC Energy Group,Utilities
12,1112227200,234000000,2005,3,WEC,WEC Energy Group,Utilities
13,1120089600,234000000,2005,6,WEC,WEC Energy Group,Utilities
14,1128038400,234000000,2005,9,WEC,WEC Energy Group,Utilities
15,1143763200,234000000,2006,3,WEC,WEC Energy Group,Utilities
16,1151625600,234000000,2006,6,WEC,WEC Energy Group,Utilities
17,1159574400,234000000,2006,9,WEC,WEC Energy Group,Utilities
18,1175299200,234000000,2007,3,WEC,WEC Energy Group,Utilities
19,1183161600,233800000,2007,6,WEC,WEC Energy Group,Utilities
20,1191110400,233800000,2007,9,WEC,WEC Energy Group,Utilities
21,1206921600,233800000,2008,3,WEC,WEC Energy Group,Utilities
22,1214784000,233800000,2008,6,WEC,WEC Energy Group,Utilities
23,1222732800,233800000,2008,9,WEC,WEC Energy Group,Utilities
24,1238457600,233800000,2009,3,WEC,WEC Energy Group,Utilities
25,1246320000,233800000,2009,6,WEC,WEC Energy Group,Utilities
26,1254268800,233800000,2009,9,WEC,WEC Energy Group,Utilities
27,1269993600,233800000,2010,3,WEC,WEC Energy Group,Utilities
28,1277856000,233800000,2010,6,WEC,WEC Energy Group,Utilities
29,1285804800,233800000,2010,9,WEC,WEC Energy Group,Utilities
30,1301529600,233700000,2011,3,WEC,WEC Energy Group,Utilities
31,1309392000,233700000,2011,6,WEC,WEC Energy Group,Utilities
32,1317340800,232200000,2011,9,WEC,WEC Energy Group,Utilities
33,1325289600,230900000,2011,12,WEC,WEC Energy Group,Utilities
34,1333152000,230500000,2012,3,WEC,WEC Energy Group,Utilities
35,1341014400,230400000,2012,6,WEC,WEC Energy Group,Utilities
36,1348963200,230400000,2012,9,WEC,WEC Energy Group,Utilities
37,1356912000,229500000,2012,12,WEC,WEC Energy Group,Utilities
38,1364688000,228900000,2013,3,WEC,WEC Energy Group,Utilities
39,1372550400,228400000,2013,6,WEC,WEC Energy Group,Utilities
40,1380499200,226800000,2013,9,WEC,WEC Energy Group,Utilities
41,1388448000,226200000,2013,12,WEC,WEC Energy Group,Utilities
42,1396224000,225800000,2014,3,WEC,WEC Energy Group,Utilities
43,1404086400,225500000,2014,6,WEC,WEC Energy Group,Utilities
44,1412035200,225500000,2014,9,WEC,WEC Energy Group,Utilities
45,1419984000,225500000,2014,12,WEC,WEC Energy Group,Utilities
46,1427760000,225500000,2015,3,WEC,WEC Energy Group,Utilities
47,1435622400,227500000,2015,6,WEC,WEC Energy Group,Utilities
48,1443571200,315700000,2015,9,WEC,WEC Energy Group,Utilities
49,1451520000,315700000,2015,12,WEC,WEC Energy Group,Utilities
50,1459382400,315700000,2016,3,WEC,WEC Energy Group,Utilities
51,1467244800,315600000,2016,6,WEC,WEC Energy Group,Utilities
52,1475193600,315600000,2016,9,WEC,WEC Energy Group,Utilities
53,1483142400,315600000,2016,12,WEC,WEC Energy Group,Utilities
54,1490918400,315600000,2017,3,WEC,WEC Energy Group,Utilities
55,1498780800,315600000,2017,6,WEC,WEC Energy Group,Utilities
56,1506729600,315600000,2017,9,WEC,WEC Energy Group,Utilities
57,1514678400,315600000,2017,12,WEC,WEC Energy Group,Utilities
58,1522454400,315500000,2018,3,WEC,WEC Energy Group,Utilities
59,1530316800,315500000,2018,6,WEC,WEC Energy Group,Utilities
60,1538265600,315500000,2018,9,WEC,WEC Energy Group,Utilities
61,1546214400,315500000,2018,12,WEC,WEC Energy Group,Utilities
62,1553990400,315500000,2019,3,WEC,WEC Energy Group,Utilities
63,1561852800,315400000,2019,6,WEC,WEC Energy Group,Utilities
64,1569801600,315400000,2019,9,WEC,WEC Energy Group,Utilities
65,1577750400,315400000,2019,12,WEC,WEC Energy Group,Utilities
66,1585612800,315400000,2020,3,WEC,WEC Energy Group,Utilities
67,1593475200,315400000,2020,6,WEC,WEC Energy Group,Utilities
68,1601424000,315400000,2020,9,WEC,WEC Energy Group,Utilities
69,1609372800,315400000,2020,12,WEC,WEC Energy Group,Utilities
70,1617148800,315400000,2021,3,WEC,WEC Energy Group,Utilities
71,1625011200,315400000,2021,6,WEC,WEC Energy Group,Utilities
72,1632960000,315400000,2021,9,WEC,WEC Energy Group,Utilities
73,1640908800,315400000,2021,12,WEC,WEC Energy Group,Utilities
74,1648684800,315400000,2022,3,WEC,WEC Energy Group,Utilities
75,1656547200,315400000,2022,6,WEC,WEC Energy Group,Utilities
76,1668716406,315400000,2022,11,WEC,WEC Energy Group,Utilities
